gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020054,2,False,2024-10-15,DAL,Dallas Stars,True,SJS,San Jose Sharks,DAL,Dallas Stars,2,3,2.996,2.0,0.993,0.0,0.0,0.0,2.217,2.0,0.039,0.0,0.025,0.0,2,0,0,2,0,0
2024020055,2,False,2024-10-15,CGY,Calgary Flames,True,CHI,Chicago Blackhawks,CGY,Calgary Flames,1,3,1.683,1.0,0.347,0.0,0.055999999999999994,0.0,2.026,1.0,0.07,0.0,0.078,0.0,2,1,0,1,0,0
2024020056,2,False,2024-10-15,EDM,Edmonton Oilers,True,PHI,Philadelphia Flyers,EDM,Edmonton Oilers,3,4,1.976,3.0,0.512,0.0,0.008,0.0,1.462,1.0,1.088,2.0,0.129,0.0,4,0,0,1,2,0
2024020057,2,False,2024-10-16,PIT,Pittsburgh Penguins,True,BUF,Buffalo Sabres,PIT,Pittsburgh Penguins,5,6,3.449,2.0,0.806,1.0,0.0,0.0,2.388,5.0,0.0,0.0,0.241,0.0,3,2,1,5,0,0
2024020058,2,False,2024-10-16,TOR,Toronto Maple Leafs,True,LAK,Los Angeles Kings,TOR,Toronto Maple Leafs,2,6,0.993,4.0,0.741,2.0,0.142,0.0,2.961,2.0,0.09699999999999999,0.0,0.016,0.0,4,2,0,2,0,0
2024020059,2,False,2024-10-16,COL,Colorado Avalanche,True,BOS,Boston Bruins,COL,Colorado Avalanche,5,3,1.812,0.0,0.217,3.0,0.013,0.0,1.187,2.0,0.9299999999999999,2.0,0.0,0.0,0,3,0,3,2,0
2024020060,2,False,2024-10-16,ANA,Anaheim Ducks,True,UTA,Arizona Coyotes,ANA,Anaheim Ducks,4,5,2.54,4.0,0.155,0.0,0.045,0.0,2.097,3.0,0.7410000000000001,1.0,0.0,0.0,5,0,0,3,1,0
2024020061,2,False,2024-10-17,MTL,Montréal Canadiens,True,LAK,Los Angeles Kings,MTL,Montréal Canadiens,4,1,1.665,1.0,0.29400000000000004,0.0,0.018,0.0,2.078,3.0,0.013,0.0,0.032,0.0,1,0,0,3,0,1
2024020062,2,False,2024-10-17,OTT,Ottawa Senators,True,NJD,New Jersey Devils,OTT,Ottawa Senators,3,1,1.652,0.0,0.112,0.0,0.377,0.0,1.869,2.0,0.133,0.0,0.20900000000000002,1.0,0,1,0,2,0,1
2024020064,2,False,2024-10-17,TBL,Tampa Bay Lightning,True,VGK,Vegas Golden Knights,TBL,Tampa Bay Lightning,3,4,2.431,4.0,0.21,0.0,0.0,0.0,1.273,2.0,0.5690000000000001,1.0,0.023,0.0,4,0,0,2,1,0
