,gid_nhl,Season Type,Neutral,Date,Away Team,Away Score,Home Team,Home Score,map,gid_ubiq,open_away_ml,close_away_ml,open_home_ml,close_home_ml,open_total_line,open_total_over,open_total_under,close_total_line,close_total_over,close_total_under,open_hc_line,open_hc_away,open_hc_home,close_hc_line,close_hc_away,close_hc_home
45,2024020047,2,False,2024-10-14,NYI,6,COL,2,2024-10-14-NYI-COL,124616,150.0,132.0,-171.0,-146.0,6.5,-104.0,-110.0,6.5,105.0,-118.0,1.5,-165.0,145.0,1.5,-177.0,158.0
46,2024020048,2,False,2024-10-15,VAN,1,TBL,4,2024-10-15-VAN-TBL,124717,111.0,117.0,-125.0,-130.0,6.5,-101.0,-114.0,6.5,105.0,-118.0,1.5,-224.0,194.0,1.5,-210.0,187.0
47,2024020049,2,False,2024-10-15,VGK,2,WSH,4,2024-10-15-VGK-WSH,124716,-133.0,-128.0,118.0,116.0,6.0,-103.0,-111.0,5.5,-117.0,104.0,-1.5,189.0,-219.0,-1.5,190.0,-214.0
48,2024020050,2,False,2024-10-15,NJD,2,CAR,4,2024-10-15-NJD-CAR,124719,128.0,143.0,-145.0,-159.0,6.5,101.0,-116.0,6.0,-113.0,101.0,1.5,-193.0,168.0,1.5,-179.0,160.0
49,2024020051,2,False,2024-10-15,FLA,4,CBJ,3,2024-10-15-FLA-CBJ,124718,-158.0,-139.0,139.0,123.0,6.5,100.0,-115.0,6.0,-107.0,-106.0,-1.5,156.0,-178.0,-1.5,171.0,-196.0
50,2024020052,2,False,2024-10-15,MIN,4,STL,1,2024-10-15-MIN-STL,124720,-115.0,-115.0,102.0,105.0,6.0,101.0,-115.0,6.0,-104.0,-108.0,-1.5,219.0,-256.0,-1.5,213.0,-242.0
51,2024020053,2,False,2024-10-15,SEA,7,NSH,3,2024-10-15-SEA-NSH,124722,148.0,170.0,-168.0,-190.0,6.0,-104.0,-110.0,6.0,-107.0,-105.0,1.5,-173.0,152.0,1.5,-148.0,133.0
52,2024020054,2,False,2024-10-15,SJS,2,DAL,3,2024-10-15-SJS-DAL,124723,276.0,337.0,-330.0,-400.0,6.0,-101.0,-113.0,6.0,105.0,-118.0,1.5,108.0,-122.0,1.5,120.0,-133.0
53,2024020055,2,False,2024-10-15,CHI,1,CGY,3,2024-10-15-CHI-CGY,124724,141.0,136.0,-160.0,-151.0,6.0,-115.0,100.0,6.5,103.0,-116.0,1.5,-177.0,155.0,1.5,-176.0,157.0
54,2024020056,2,False,2024-10-15,PHI,3,EDM,4,2024-10-15-PHI-EDM,124725,186.0,176.0,-214.0,-198.0,6.5,-104.0,-110.0,6.5,-111.0,-101.0,1.5,-129.0,115.0,1.5,-142.0,128.0
55,2024020057,2,False,2024-10-16,BUF,5,PIT,6,2024-10-16-BUF-PIT,124783,121.0,101.0,-136.0,-112.0,6.0,-119.0,104.0,6.5,-102.0,-110.0,1.5,-208.0,181.0,1.5,-238.0,210.0
56,2024020058,2,False,2024-10-16,LAK,2,TOR,6,2024-10-16-LAK-TOR,124786,145.0,175.0,-165.0,-196.0,6.5,104.0,-119.0,6.0,-117.0,104.0,1.5,-172.0,151.0,1.5,-139.0,126.0
57,2024020059,2,False,2024-10-16,BOS,5,COL,3,2024-10-16-BOS-COL,124790,102.0,121.0,-115.0,-134.0,6.5,-101.0,-114.0,6.5,-123.0,109.0,1.5,-246.0,211.0,1.5,-215.0,191.0
58,2024020060,2,False,2024-10-16,UTA,4,ANA,5,2024-10-16-UTA-ANA,124791,-130.0,-149.0,115.0,134.0,6.0,-117.0,102.0,6.0,-120.0,106.0,-1.5,189.0,-218.0,-1.5,167.0,-187.0
