date,game-ID,home_team_abv,away_team_abv,gametime,close_away_ml,close_home_ml,close_total_line,close_total_over,close_total_under,home_goalie,away_goalie
2024-10-22,2024020095,BUF,DAL,7:00:00,-146.0,132.0,6.0,102.0,-114.0,Ukko-Pekka Luukkonen,Jake Oettinger
2024-10-22,2024020096,MTL,NYR,7:00:00,-248.0,218.0,6.0,-111.0,-101.0,Cayden Primeau,Igor Shesterkin
2024-10-22,2024020097,CBJ,TOR,7:00:00,-188.0,164.0,6.5,-118.0,103.0,Daniil Tarasov,Dennis Hildeby
2024-10-22,2024020098,NYI,DET,7:00:00,152.0,-169.0,6.0,-107.0,-105.0,Ilya Sorokin,Alex Lyon
2024-10-22,2024020099,STL,WPG,7:00:00,-140.0,126.0,5.5,-113.0,101.0,Jordan Binnington,Connor Hellebuyck
2024-10-22,2024020100,CHI,VAN,7:00:00,-179.0,160.0,5.5,-116.0,103.0,Petr Mrazek,Kevin Lankinen
2024-10-22,2024020106,SEA,COL,7:00:00,-126.0,114.0,6.5,103.0,-115.0,Philipp Grubauer,Justus Annunen
2024-10-22,2024020101,NSH,BOS,7:00:00,126.0,-139.0,6.0,-102.0,-110.0,Juuse Saros,Jeremy Swayman
2024-10-22,2024020103,EDM,CAR,7:00:00,101.0,-111.0,6.5,100.0,-113.0,Stuart Skinner,Frederik Andersen
2024-10-22,2024020104,UTA,OTT,7:00:00,-103.0,-107.0,6.5,-103.0,-109.0,Karel Vejmelka,Anton Forsberg
2024-10-22,2024020102,CGY,PIT,7:00:00,103.0,-114.0,6.5,-106.0,-106.0,Dustin Wolf,Alex Nedeljkovic
2024-10-22,2024020105,ANA,SJS,7:00:00,133.0,-147.0,6.0,-102.0,-110.0,Lukas Dostal,Mackenzie Blackwood
2024-10-22,2024020107,VGK,LAK,7:00:00,110.0,-121.0,5.5,-118.0,105.0,Ilya Samsonov,David Rittich
2024-10-23,2024020108,WSH,PHI,7:00:00,127.0,-141.0,6.0,-118.0,105.0,Logan Thompson,Ivan Fedotov
2024-10-24,2024020109,BOS,DAL,7:00:00,106.0,-117.0,6.0,106.0,-119.0,Jeremy Swayman,Casey DeSmith
2024-10-24,2024020110,TOR,STL,7:00:00,200.0,-226.0,6.0,-113.0,100.0,Joseph Woll,Jordan Binnington
2024-10-24,2024020111,DET,NJD,7:00:00,-164.0,148.0,6.5,-113.0,101.0,Cam Talbot,Jacob Markstrom
2024-10-24,2024020112,TBL,MIN,7:00:00,145.0,-161.0,6.0,-119.0,106.0,Andrei Vasilevskiy,Marc-Andre Fleury
2024-10-24,2024020113,NYR,FLA,7:00:00,137.0,-152.0,5.5,-118.0,105.0,Igor Shesterkin,Sergei Bobrovsky
2024-10-24,2024020114,CGY,CAR,7:00:00,-184.0,164.0,6.5,103.0,-116.0,Dan Vladar,Pyotr Kochetkov
2024-10-24,2024020115,UTA,COL,7:00:00,-147.0,133.0,6.5,104.0,-117.0,Karel Vejmelka,Justus Annunen
2024-10-24,2024020116,SEA,WPG,7:00:00,-129.0,117.0,5.5,-113.0,101.0,Joey Daccord,Connor Hellebuyck
2024-10-24,2024020117,LAK,SJS,7:00:00,256.0,-296.0,6.0,-105.0,-107.0,David Rittich,Mackenzie Blackwood
